Speed,q
1023,42.76
1028,42.99
1029,43.11
1020,43.27
1028,43.52
1032,43.52
1025,43.49
1024,43.57
1030,43.68
1029,43.64
1025,43.67
1027,43.80
1031,43.84
1026,43.84
1028,43.86
1028,43.90
1029,43.90
1033,43.87
1023,43.81
1030,43.89
1035,43.79
1027,43.74
1028,43.89
1033,43.85
1032,43.99
1031,44.32
1028,44.77
1034,47.61
1035,50.18
1031,52.73
1033,54.53
1036,55.59
1039,56.45
1032,56.98
1040,57.54
1042,57.73
1033,57.89
1041,58.14
1041,58.17
1041,58.22
1045,58.22
1043,58.20
1047,58.19
1046,58.09
1047,58.01
1050,57.86
1044,57.47
1050,57.08
1056,56.29
1048,55.61
1053,55.02
1057,53.85
1051,52.63
1054,51.79
1056,50.11
1056,48.64
1054,47.80
1059,46.85
1055,45.95
1055,45.41
1059,44.95
1054,44.48
1062,44.05
1058,43.76
1059,43.36
1061,43.02
1060,42.82
1065,42.62
1062,42.42
1060,42.37
1063,42.31
1063,42.20
1059,42.19
1061,42.23
1066,42.13
1059,42.07
1060,42.19
1064,42.13
1060,42.04
1063,42.03
1061,41.89
1060,41.83
1065,41.72
1061,41.58
1062,41.61
1065,41.50
1060,41.50
1065,41.46
1063,41.42
1065,41.39
1067,41.30
1062,41.29
1063,41.34
1067,41.31
1067,41.18
1064,41.18
1066,41.21
1068,41.10
1065,41.11
1065,41.15
1069,41.09
1069,41.02
1068,41.00
1068,40.95
1069,40.86
1073,40.67
1065,40.59
1069,40.62
1073,40.48
1065,40.48
1071,40.51
1072,40.43
1073,40.35
1074,40.27
1068,40.32
1077,40.31
1073,40.09
1066,40.16
1074,40.19
1072,40.08
1071,40.12
1070,40.12
1072,40.16
1073,40.14
1074,40.10
1070,40.12
1073,40.61
1078,41.77
1072,42.72
1071,44.36
1081,45.52
1073,46.65
1075,47.63
1078,48.33
1075,50.97
1083,55.63
1075,59.45
1076,61.53
1085,64.03
1079,67.02
1083,69.09
1085,70.47
1084,71.70
1087,72.58
1088,74.07
1094,74.94
1096,75.87
1092,76.86
1097,77.54
1103,77.77
1098,78.03
