Speed,q,p
827,49.44,741734
842,48.49,753968
854,47.43,762350
865,46.37,769391
873,45.29,772267
879,44.30,772609
884,43.68,774069
889,42.87,775703
899,42.15,781547
909,41.44,783608
921,40.53,784202
930,39.79,785370
937,39.03,785300
939,38.33,782592
940,37.90,780774
942,37.35,778954
947,36.96,780502
955,36.60,783426
965,36.26,788511
972,35.75,790929
976,35.36,791522
976,36.28,795724
979,38.39,806315
988,41.01,821349
999,43.13,834311
1013,45.81,849981
1029,47.64,862608
1045,49.09,873081
1054,49.85,879011
1064,51.76,896729
1077,53.39,914201
1096,54.31,928431
1116,54.49,937648
1134,54.29,943941
1155,53.89,950548
1172,53.17,954544
1187,52.54,958603
1205,52.32,967710
1224,52.04,981371
1244,51.82,996595
1264,52.05,1013328
1288,52.09,1033165
1309,51.37,1045031
1324,50.12,1040802
1334,48.69,1037117
1343,47.44,1035250
1354,46.27,1038132
1369,45.25,1048803
1388,43.96,1064814
1407,42.33,1080486
1419,40.54,1090261
1424,38.58,1082987
1426,37.24,1072553
1427,36.19,1064233
1431,35.25,1058730
1438,34.49,1056201
1445,33.30,1051075
1453,25.66,1004069
1466,17.45,962137
1457,10.64,906611
1431,6.86,863930
1395,3.88,823755
1356,2.53,794994
1315,1.73,774200
1273,0.00,746206
1220,0.00,719156
1170,0.00,694934
1127,0.00,674927
1084,0.00,647757
1046,0.00,623909
1008,0.00,600019
968,0.00,574575
928,0.00,545638
892,0.00,519640
859,0.00,495875
821,0.00,468887
788,0.00,445142
755,0.00,420846
723,0.00,409552
682,1.28,402697
593,20.29,429533
555,61.81,608366
536,101.90,708839
547,85.83,677647
544,87.83,680669
542,88.73,681047
541,88.70,680862
540,89.74,682022
538,90.26,682152
537,90.15,680996
535,89.47,678094
533,88.84,674415
528,89.11,671238
521,88.41,667590
511,87.81,666147
506,87.73,665962
496,88.13,666924
497,87.67,665802
514,85.80,661324
520,86.40,662750
519,87.33,664998
523,87.17,664601
533,86.43,668773
